ID,Study,Experiment,Entered.by,Host,Host.type,Parasite,Parasite.type,Study.type,X_gradient,Gradient.category,Trait,Trait.type,Trait.category,Gradient.as.predicted,Statistics,Level_C,Level_X,N_C,N_X,Mean_C,Variation_C,Lwr_C,Upr_C,Mean_X,Variation_X,Lwr_X,Upr_X,Success_C,Success_X,Variation.Type,OR,OR_SE,OR_N,F_X,F_df,Chi2,Chi2_df,Slope,R,R_N,R_df,Slope_SE,Z_X,Z_N,Z_df,Z_SE,Data_source,Comment
733,Hall et al. 2020. Proceedings of the Royal Society B,86,BW,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Salinity,Environment,Mortality,Survivorship,Infected demographic,yes,Contingency table,200_uScm-1_low_exposure,3000_uScm-1_low_exposure,20,20,,,,,,,,,2,4,OR,,,,,,,,,,,,,,,,,Raw data file,Success and N obtained from raw data on Dryad
734,Hall et al. 2020. Proceedings of the Royal Society B,86,BW,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Salinity,Environment,Mortality,Survivorship,Infected demographic,yes,Contingency table,200_uScm-1_medium_exposure,1500_uScm-1_medium_exposure,20,20,,,,,,,,,6,8,OR,,,,,,,,,,,,,,,,,Raw data file,Success and N obtained from raw data on Dryad
735,Hall et al. 2020. Proceedings of the Royal Society B,86,BW,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Salinity,Environment,Mortality,Survivorship,Infected demographic,yes,Contingency table,200_uScm-1_medium_exposure,3000_uScm-1_medium_exposure,20,20,,,,,,,,,6,12,OR,,,,,,,,,,,,,,,,,Raw data file,Success and N obtained from raw data on Dryad
736,Hall et al. 2020. Proceedings of the Royal Society B,86,BW,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Salinity,Environment,Mortality,Survivorship,Infected demographic,yes,Contingency table,200_uScm-1_high_exposure,1500_uScm-1_high_exposure,20,19,,,,,,,,,14,15,OR,,,,,,,,,,,,,,,,,Raw data file,Success and N obtained from raw data on Dryad
737,Hall et al. 2020. Proceedings of the Royal Society B,86,BW,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Experimental,Salinity,Environment,Mortality,Survivorship,Infected demographic,yes,Contingency table,200_uScm-1_high_exposure,3000_uScm-1_high_exposure,20,20,,,,,,,,,14,17,OR,,,,,,,,,,,,,,,,,Raw data file,Success and N obtained from raw data on Dryad
738,Hall et al. 2020. Proceedings of the Royal Society B,87,BW,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Observational,Salinity,Environment,days to death,Survivorship,Infected demographic,yes,Regression,,,,,,,,,,,,,,,Z,,,,,,,,-4.239,,11,,1.943,-1.94,11,,,Results section b p1,Check if effects can be converted to g and var g
739,Hall et al. 2020. Proceedings of the Royal Society B,87,BW,Lithobates sylvaticus,Amphibian,Ranavirus,Virus,Observational,Salinity,Environment,log10 RanaViruscopies,Intensity,Epidemiological,yes,Regression,,,,,,,,,,,,,,,t,,,,,,,,4.596,,96,,1.911,2.405,,9.759,,Results section b p1,"Mixed model with 3-11 individuals per population, hence df doesn't match N. Check if effect sizes can be converted"
740,Robak et al. 2019. Journal of Experimental Biology,88,"MK,MY ",Rana sphenocephala,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Percent Survival,Survivorship,Infected demographic,no,Comparison ,26C_AMP_intact,14C_AMP_intact,8,8,,,,,,,,,7,4,OR,,,,,,,,,,,,,,,,,Figure 5b,"extracted from day 90. could find no data on uninfected population even though the experiment had one. Lower temperature is treatment, as expected by authors because of the frog weaker immune response"
741,Robak et al. 2019. Journal of Experimental Biology,88,"MK,MY ",Rana sphenocephala,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Percent Survival,Survivorship,Infected demographic,no,Comparison ,26C_AMP_depleted,14C_AMP_depleted,8,8,,,,,,,,,7,2,OR,,,,,,,,,,,,,,,,,Figure 5b,"extracted from day 90. could find no data on uninfected population even though the experiment had one. Lower temperature is treatment, as expected by authors because of the frog weaker immune response"
742,Robak et al. 2019. Journal of Experimental Biology,88,"MK,MY ",Rana sphenocephala,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Pathogen Load,Intensity,Epidemiological,no,Comparison ,26C_AMP_intact,14C_AMP_intact,8,8,0.49,0.27,,,3.04,0.48,,,,,SE,,,,,,,,,,,,,,,,,Figure 5a,"Lower temperature is treatment, as expected by authors because of the frog weaker immune response"
743,Robak et al. 2019. Journal of Experimental Biology,88,"MK,MY ",Rana sphenocephala,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Pathogen Load,Intensity,Epidemiological,no,Comparison ,26C_AMP_depleted,14C_AMP_depleted,8,8,0.45,0.25,,,2.28,0.34,,,,,SE,,,,,,,,,,,,,,,,,Figure 5a,"Lower temperature is treatment, as expected by authors because of the frog weaker immune response"
744,Oliver et al. 2019. Aquaculture Env Interact,89,"KN, SA",Crassostrea gigas,Mollusc,Ostreid herpesVirus1,Virus,Experimental,Imidacloprid,Toxin,Total cumulative mortality (TCM),Survivorship,Infected demographic,yes,Comparison ,No Treatment_Injected ,Imidacloprid_10 μg 1−1_Injected,28,31,,,,,,,,,24,25,OR,,,,,,,,,,,,,,,,,Table 1,Converted from percent mortality 
745,Oliver et al. 2019. Aquaculture Env Interact,89,"KN, SA",Crassostrea gigas,Mollusc,Ostreid herpesVirus1,Virus,Experimental,Imidacloprid,Toxin,Total cumulative mortality (TCM),Survivorship,Infected demographic,yes,Comparison ,No Treatment_Cohabiter,Imidacloprid_10 μg 1−1_Cohabiter,32,30,,,,,,,,,23,18,OR,,,,,,,,,,,,,,,,,Table 1,Converted from percent mortality 
746,Oliver et al. 2019. Aquaculture Env Interact,89,"KN, SA",Crassostrea gigas,Mollusc,Ostreid herpesVirus1,Virus,Experimental,Imidacloprid,Toxin,Total cumulative mortality (TCM),Survivorship,Uninfected demographic,yes,Comparison ,No Treatment_Injected ,Imidacloprid_10 μg 1−1_Injected,15,15,,,,,,,,,0,0,OR,,,,,,,,,,,,,,,,,Table 1,Converted from percent mortality 
747,Oliver et al. 2019. Aquaculture Env Interact,89,"KN, SA",Crassostrea gigas,Mollusc,Ostreid herpesVirus1,Virus,Experimental,Imidacloprid,Toxin,Total cumulative mortality (TCM),Survivorship,Uninfected demographic,yes,Comparison ,No Treatment_Cohabiter,Imidacloprid_10 μg 1−1_Cohabiter,15,15,,,,,,,,,0,0,OR,,,,,,,,,,,,,,,,,Table 1,Converted from percent mortality 
748,Oliver et al. 2019. Aquaculture Env Interact,89,"KN, SA",Crassostrea gigas,Mollusc,Ostreid herpesVirus1,Virus,Experimental,Imidacloprid,Toxin,DNA Copies (log10),Intensity,Epidemiological,yes,GLMM,No Treatment_Injected ,Imidacloprid_10 μg 1−1_Injected,10,10,6.04,0.17,,,5.73,0.19,,,,,SE,,,,,,,,,,,,,,,,,Table 1,Found n- value under table 1. description 
749,Oliver et al. 2019. Aquaculture Env Interact,89,"KN, SA",Crassostrea gigas,Mollusc,Ostreid herpesVirus1,Virus,Experimental,Imidacloprid,Toxin,DNA Copies (log10),Intensity,Epidemiological,yes,GLMM,No Treatment_Cohabiter,Imidacloprid_10 μg 1−1_Cohabiter,10,10,5.02,0.24,,,5.65,0.09,,,,,SE,,,,,,,,,,,,,,,,,Table 1,Found n- value under table 1. description 
750,Pernet et al. 2019. J Exp Biol,90,AVS,Crassostrea gigas,Mollusc,Ostreid herpesVirus2,Virus,Experimental,Food ,Resource,Survival,Survivorship,Uninfected demographic,yes,,Slow_High_Food,Slow_Low_Food,410,410,,,,,,,,,410,410,OR,,,,,,,,,,,,,,,,,Figure 1b,"At day 6 to match viral load data. They provide the mean survival of 2-3 tanks, but no variation. So I used the N of the tank to calculate the number of surviving individuals"
751,Pernet et al. 2019. J Exp Biol,90,AVS,Crassostrea gigas,Mollusc,Ostreid herpesVirus3,Virus,Experimental,Food ,Resource,Survival,Survivorship,Uninfected demographic,yes,,Fast_High_Food,Fast_Low_Food,200,200,,,,,,,,,200,200,OR,,,,,,,,,,,,,,,,,Figure 1b,"At day 6 to match viral load data. They provide the mean survival of 2-3 tanks, but no variation. So I used the N of the tank to calculate the number of surviving individuals"
752,Pernet et al. 2019. J Exp Biol,90,AVS,Crassostrea gigas,Mollusc,Ostreid herpesVirus4,Virus,Experimental,Food ,Resource,Survival,Survivorship,Infected demographic,yes,,Slow_High_Food,Slow_Low_Food,130,130,,,,,,,,,130,130,OR,,,,,,,,,,,,,,,,,Figure 1b,"At day 6 to match viral load data. They provide the mean survival of 2-3 tanks, but no variation. So I used the N of the tank to calculate the number of surviving individuals"
753,Pernet et al. 2019. J Exp Biol,90,AVS,Crassostrea gigas,Mollusc,Ostreid herpesVirus5,Virus,Experimental,Food ,Resource,Survival,Survivorship,Infected demographic,yes,,Fast_High_Food,Fast_Low_Food,80,80,,,,,,,,,42,75,OR,,,,,,,,,,,,,,,,,Figure 1b,"At day 6 to match viral load data. They provide the mean survival of 2-3 tanks, but no variation. So I used the N of the tank to calculate the number of surviving individuals"
754,Pernet et al. 2019. J Exp Biol,90,AVS,Crassostrea gigas,Mollusc,Ostreid herpesVirus6,Virus,Experimental,Food ,Resource,Viral load,Intensity,Epidemiological,yes,,Slow_High_Food,Slow_Low_Food,3,3,1400000,4000000,,,2600000,2900000,,,,,SD,,,,,,,,,,,,,,,,,TableS2,Control also seemed to be positive for the virus.
755,Pernet et al. 2019. J Exp Biol,90,AVS,Crassostrea gigas,Mollusc,Ostreid herpesVirus7,Virus,Experimental,Food ,Resource,Viral load,Intensity,Epidemiological,yes,,Fast_High_Food,Fast_Low_Food,2,2,4100000,3900000,,,3600000,3500000,,,,,SD,,,,,,,,,,,,,,,,,TableS2,Control also seemed to be positive for the virus.
756,Sonn et al. 2019. Ecosphere,91,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Viral load,Intensity,Epidemiological,yes,,LA_July,LA_Jan,11,11,3.0535243,,2.7610073,3.3936474,4.1300974,,3.8103564,4.436207,,,Median_IQ,,,,,,,,,,,,,,,,,Figure 5,
757,Sonn et al. 2019. Ecosphere,92,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Viral load,Intensity,Epidemiological,yes,,OH_July,OH_May,11,11,2.8953578,,2.7865143,3.0654128,3.2678165,,2.9821022,3.743994,,,Median_IQ,,,,,,,,,,,,,,,,,Figure 5,
758,Sonn et al. 2019. Ecosphere,91,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Survival,Survivorship,Uninfected demographic,yes,,LA_July,LA_Jan,9,9,,,,,,,,,8,5,OR,,,,,,,,,,,,,,,,,Figure 6b,
759,Sonn et al. 2019. Ecosphere,92,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Survival,Survivorship,Uninfected demographic,yes,,OH_July,OH_May,12,12,,,,,,,,,12,12,OR,,,,,,,,,,,,,,,,,Figure 6b,
760,Sonn et al. 2019. Ecosphere,91,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Survival,Survivorship,Infected demographic,yes,,LA_July,LA_Jan,11,11,,,,,,,,,5,1,OR,,,,,,,,,,,,,,,,,Figure 6a,
761,Sonn et al. 2019. Ecosphere,92,AVS,Acris crepitans,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Temperature,Environment,Survival,Survivorship,Infected demographic,yes,,OH_July,OH_May,11,11,,,,,,,,,10,9,OR,,,,,,,,,,,,,,,,,Figure 6a,
762,Lemon et al. 2020. JournMedEnt.,93,"OM,MK",Xenopsylla cheopis,Arthropod,Yersinia pestis,Bacteria,Experimental,Temperature,Environment,Infection prevalence,Prevalence,Epidemiological,yes,Comparison ,21C_Day28,10C_Day28,60,69,,,,,,,,,54,66,OR,,,,,,,,,,,,,,,,,Figure 2,"No explicit information on gradient direction, assumed by default. Extracted from day 28; converted different infection intensities into y/n percentges; multiplied by n to get prevalence"
763,Lemon et al. 2020. JournMedEnt.,94,"OM,MK",Oropsylla montana,Arthropod,Yersinia pestis,Bacteria,Experimental,Temperature,Environment,Infection prevalence,Prevalence,Epidemiological,yes,Comparison ,21C_Day28,10C_Day28,60,60,,,,,,,,,35,43,OR,,,,,,,,,,,,,,,,,Figure 2,"No explicit information on gradient direction, assumed by default. Extracted from day 28; converted different infection intensities into y/n percentges; multiplied by n to get prevalence"
764,Lemon et al. 2020. JournMedEnt.,93,"OM,MK",Xenopsylla cheopis,Arthropod,Yersinia pestis,Bacteria,Experimental,Temperature,Environment,Percent Survival,Survivorship,Infected demographic,yes,Comparison ,21C_Day28,10C_Day28,3,3,80.5,6.5,,,69.9,8.9,,,,,SE,,,,,,,,,,,,,,,,,Figure 3,"No explicit information on gradient direction, assumed by default."
765,Lemon et al. 2020. JournMedEnt.,93,"OM,MK",Xenopsylla cheopis,Arthropod,Yersinia pestis,Bacteria,Experimental,Temperature,Environment,Percent Survival,Survivorship,Uninfected demographic,yes,Comparison ,21C_Day28,10C_Day28,3,3,93.85,2.67,,,88.7,2.35,,,,,SE,,,,,,,,,,,,,,,,,Figure 3,"No explicit information on gradient direction, assumed by default."
766,Lemon et al. 2020. JournMedEnt.,94,"OM,MK",Oropsylla montana,Arthropod,Yersinia pestis,Bacteria,Experimental,Temperature,Environment,Percent Survival,Survivorship,Infected demographic,yes,Comparison ,21C_Day28,10C_Day28,3,3,89.98,2.73,,,93.85,1.97,,,,,SE,,,,,,,,,,,,,,,,,Figure 3,"No explicit information on gradient direction, assumed by default."
767,Lemon et al. 2020. JournMedEnt.,94,"OM,MK",Oropsylla montana,Arthropod,Yersinia pestis,Bacteria,Experimental,Temperature,Environment,Percent Survival,Survivorship,Uninfected demographic,yes,Comparison ,21C_Day28,10C_Day28,3,3,93.85,2.67,,,95.06,3.04,,,,,SE,,,,,,,,,,,,,,,,,Figure 3,"No explicit information on gradient direction, assumed by default."
768,Lemon et al. 2020. JournMedEnt.,93,"OM,MK",Xenopsylla cheopis,Arthropod,Yersinia pestis,Bacteria,Experimental,Temperature,Environment,Infection prevalence,Prevalence,Epidemiological,yes,Comparison ,21C_Day7,10C_Day7,57,40,,,,,,,,,55,39,OR,,,,,,,,,,,,,,,,,Figure 2,"No explicit information on gradient direction, assumed by default."
769,Lemon et al. 2020. JournMedEnt.,94,"OM,MK",Oropsylla montana,Arthropod,Yersinia pestis,Bacteria,Experimental,Temperature,Environment,Infection prevalence,Prevalence,Epidemiological,yes,Comparison ,21C_Day7,10C_Day7,40,60,,,,,,,,,27,44,OR,,,,,,,,,,,,,,,,,Figure 2,"No explicit information on gradient direction, assumed by default."
770,Lemon et al. 2020. JournMedEnt.,93,"OM,MK",Xenopsylla cheopis,Arthropod,Yersinia pestis,Bacteria,Experimental,Temperature,Environment,Percent Survival,Survivorship,Infected demographic,yes,Comparison ,21C_Day7,10C_Day7,3,3,67.01,10.68,,,73.38,4.87,,,,,SE,,,,,,,,,,,,,,,,,Figure 3,"No explicit information on gradient direction, assumed by default."
771,Lemon et al. 2020. JournMedEnt.,93,"OM,MK",Xenopsylla cheopis,Arthropod,Yersinia pestis,Bacteria,Experimental,Temperature,Environment,Percent Survival,Survivorship,Uninfected demographic,yes,Comparison ,21C_Day7,10C_Day7,3,3,75.07,2.62,,,82.94,4.49,,,,,SE,,,,,,,,,,,,,,,,,Figure 3,"No explicit information on gradient direction, assumed by default."
772,Lemon et al. 2020. JournMedEnt.,94,"OM,MK",Oropsylla montana,Arthropod,Yersinia pestis,Bacteria,Experimental,Temperature,Environment,Percent Survival,Survivorship,Infected demographic,yes,Comparison ,21C_Day7,10C_Day7,3,3,86.86,5.8,,,82.94,4.49,,,,,SE,,,,,,,,,,,,,,,,,Figure 3,"No explicit information on gradient direction, assumed by default."
773,Lemon et al. 2020. JournMedEnt.,94,"OM,MK",Oropsylla montana,Arthropod,Yersinia pestis,Bacteria,Experimental,Temperature,Environment,Percent Survival,Survivorship,Uninfected demographic,yes,Comparison ,21C_Day7,10C_Day7,3,3,86.86,5.8,,,88.18,3.37,,,,,SE,,,,,,,,,,,,,,,,,Figure 3,"No explicit information on gradient direction, assumed by default."
774,Macias-Macias et al. 2020. SciReports,95,BW,Melipona colimana,Arthropod,Nosema ceranae,Fungus,Experimental,Thiamethoxam,Toxin,Infection prevalence,Prevalence,Epidemiological,yes,Comparison ,Nc,Nc_Thiam,3,3,66.2,16.9,,,51.6,18.8,,,,,SE,,,,,,,,,,,,,,,,,Results section 2,"mean of three ""biological replicates"" with 20 bees each"
775,Macias-Macias et al. 2020. SciReports,95,"CJ,OM",Melipona colimana,Arthropod,Nosema ceranae,Fungus,Experimental,Thiamethoxam,Toxin,Mean spore count,Intensity,Epidemiological,yes,Two-sample Wilcoxon test,Nc,Nc_Thiam,60,60,4.66,0.67,,,1.38,0.46,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 1,Measured 14-days post treatment
776,Macias-Macias et al. 2020. SciReports,95,"CJ,OM",Melipona colimana,Arthropod,Nosema ceranae,Fungus,Experimental,Thiamethoxam,Toxin,Survival probability,Survivorship,Uninfected demographic,yes,Kaplan-Meier,No treatment_Day14,Thiam_Day14,60,60,,,,,,,,,12,3,OR,,,,,,,,,,,,,,,,,Digitized from Figure 2,"Measured 14 days post-treatment, from total sample size pooling all 3 ""biological replicates"""
777,Macias-Macias et al. 2020. SciReports,95,"CJ,OM",Melipona colimana,Arthropod,Nosema ceranae,Fungus,Experimental,Thiamethoxam,Toxin,Survival probability,Survivorship,Infected demographic,yes,Kaplan-Meier,Nc_Day14,NcThiam_Day14,60,60,,,,,,,,,23,1,OR,,,,,,,,,,,,,,,,,Digitized from Figure 2,"Measured 14 days post-treatment, from total sample size pooling all 3 ""biological replicates"""
778,Steele et al. 2020. Journal of Invertebrate Pathology,96,BW,Adalia bipunctata,Arthropod,Nosema adaliae,Fungus,Experimental,Temperature,Environment,Spore count,Intensity,Epidemiological,yes,Comparison ,25C,27.5C,60,60,31.1,4.4,,,10.51,2.38,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 2,"No explicit information on gradient direction, assumed by default. Spores counted at the end of experiment"
779,Steele et al. 2020. Journal of Invertebrate Pathology,96,BW,Adalia bipunctata,Arthropod,Nosema adaliae,Fungus,Experimental,Temperature,Environment,Spore count,Intensity,Epidemiological,yes,Comparison ,25C,30C,60,60,31.1,4.4,,,1.03,0.26,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 2,"No explicit information on gradient direction, assumed by default. Spores counted at the end of experiment"
780,Steele et al. 2020. Journal of Invertebrate Pathology,96,BW,Adalia bipunctata,Arthropod,Nosema adaliae,Fungus,Experimental,Temperature,Environment,Infection prevalence,Prevalence,Epidemiological,yes,Comparison ,25C,27.5C,60,60,,,,,,,,,60,54,OR,,,,,,,,,,,,,,,,,Digitized from Figure 2,"No explicit information on gradient direction, assumed by default. Prevalence assesed at the end of the experiment"
